service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
28292727,0,0,0,0,0,0,0,20220110,20221231
28292728,0,0,0,0,0,0,0,20220110,20221231
28292729,0,0,0,0,0,0,0,20220110,20221231
28292730,0,0,0,0,0,0,0,20220110,20221231
28292731,0,0,0,0,0,0,0,20220110,20221231
28292732,0,0,0,0,0,0,0,20220110,20221231
28292733,0,0,0,0,0,0,0,20220110,20221231
28292734,0,0,0,0,0,0,0,20220110,20221231
28292735,0,0,0,0,0,0,0,20220110,20221231
28292736,0,0,0,0,0,0,0,20220110,20221231
28292737,0,0,0,0,0,0,0,20220110,20221231
28292738,0,0,0,0,0,0,0,20220110,20221231
28292739,0,0,0,0,0,0,0,20220110,20221231
28292740,0,0,0,0,0,0,0,20220110,20221231
28292741,0,0,0,0,0,0,0,20220110,20221231
28292742,0,0,0,0,0,0,0,20220110,20221231
28292743,0,0,0,0,0,0,0,20220110,20221231
28292744,0,0,0,0,0,0,0,20220110,20221231
28292745,0,0,0,0,0,0,0,20220110,20221231
28292746,0,0,0,0,0,0,0,20220110,20221231
28292747,0,0,0,0,0,0,0,20220110,20221231
28292748,0,0,0,0,0,0,0,20220110,20221231
28292749,0,0,0,0,0,0,0,20220110,20221231
28292750,0,0,0,0,0,0,0,20220110,20221231
28292751,0,0,0,0,0,0,0,20220110,20221231
28292752,0,0,0,0,0,0,0,20220110,20221231
28292753,0,0,0,0,0,0,0,20220110,20221231
28292754,0,0,0,0,0,0,0,20220110,20221231
28292755,0,0,0,0,0,0,0,20220110,20221231
28292757,0,0,0,0,0,0,0,20220110,20221231
28292758,0,0,0,0,0,0,0,20220110,20221231
28292759,0,0,0,0,0,0,0,20220110,20221231
28292760,0,0,0,0,0,0,0,20220110,20221231
28292761,0,0,0,0,0,0,0,20220110,20221231
28292762,0,0,0,0,0,0,0,20220110,20221231
28292764,0,0,0,0,0,0,0,20220110,20221231
28292591,0,0,0,0,0,1,0,20221231,20221231
28292594,0,0,0,0,0,1,0,20221231,20221231
28292600,0,0,0,0,0,1,0,20221231,20221231
28292603,0,0,0,0,0,1,0,20221231,20221231
28292606,0,0,0,0,0,1,0,20221231,20221231
28292597,0,0,0,0,0,1,0,20221231,20221231
28292609,0,0,0,0,0,1,0,20221231,20221231
28292756,0,0,0,0,0,0,0,20220110,20221231
28292763,0,0,0,0,0,0,0,20220110,20221231
28292765,0,0,0,0,0,0,0,20220110,20221231
28246242,0,0,0,0,0,0,0,20220110,20221231
