shape_seg_id,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_12ECIRC0_801_817,193008,38.71671,-9.135152,1,
1_12ECIRC0_817_13824,193008,38.716115,-9.133056,2,
1_12ECIRC0_13824_13822,193008,38.715464,-9.13209,3,
1_12ECIRC0_13822_13809,193008,38.713425,-9.130651,4,
1_12ECIRC0_13809_13812,193008,38.712182,-9.130408,5,
1_12ECIRC0_13812_13816,193008,38.711314,-9.130714,6,
1_12ECIRC0_13816_13804,193008,38.710166,-9.13234,7,
1_12ECIRC0_13804_13802,193008,38.710052,-9.134268,8,
1_12ECIRC0_13802_5602,193008,38.709944,-9.135962,9,
1_12ECIRC0_5602_917,193008,38.713393,-9.137256,10,
1_12ECIRC0_917_801,193008,38.715271,-9.13601,11,
1_202ASC0_3811_3825,193033,38.707592,-9.143346,1,
1_202ASC0_3825_10501,193033,38.710957,-9.142904,2,
1_202ASC0_10501_10503,193033,38.713181,-9.143334,3,
1_202ASC0_10503_10601,193033,38.714911,-9.144479,4,
1_202ASC0_10601_10605,193033,38.71657,-9.14811,5,
1_202ASC0_10605_10607,193033,38.71807,-9.15194,6,
1_202ASC0_10607_6812,193033,38.720248,-9.15489,7,
1_202ASC0_6812_6816,193033,38.72047,-9.159156,8,
1_202ASC0_6816_8513,193033,38.720827,-9.160628,9,
1_202ASC0_8513_8511,193033,38.723867,-9.16058,10,
1_202ASC0_8511_8509,193033,38.725223,-9.159972,11,
1_202ASC0_8509_6119,193033,38.727719,-9.162021,12,
1_202ASC0_6119_6121,193033,38.730337,-9.162242,13,
1_202ASC0_6121_6123,193033,38.732261,-9.162434,14,
1_202ASC0_6123_2711,193033,38.735087,-9.165179,15,
1_202ASC0_2711_2713,193033,38.737727,-9.167631,16,
1_202ASC0_2713_1621,193033,38.740566,-9.167409,17,
1_202ASC0_1621_1607,193033,38.741989,-9.169768,18,
1_202ASC0_1607_1616,193033,38.742583,-9.172662,19,
1_202ASC0_1616_10706,193033,38.743614,-9.175524,20,
1_202ASC0_10706_10704,193033,38.744557,-9.17914,21,
1_202ASC0_10704_10702,193033,38.745703,-9.181725,22,
1_202ASC0_10702_10830,193033,38.746809,-9.184617,23,
1_202ASC0_10830_10826,193033,38.747272,-9.188895,24,
1_202ASC0_10826_10814,193033,38.748946,-9.191185,25,
1_202ASC0_10814_10802,193033,38.75014,-9.195589,26,
1_202ASC0_10802_10908,193033,38.749293,-9.19767,27,
1_202ASC0_10908_2804,193033,38.747781,-9.197821,28,
1_202ASC0_2804_2806,193033,38.745013,-9.198958,29,
1_202ASC0_2806_8816,193033,38.745259,-9.202972,30,
1_202ASC0_8816_2908,193033,38.746263,-9.206509,31,
1_202ASC0_2908_2909,193033,38.747879,-9.207253,32,
1_202ASC0_2909_2904,193033,38.749742,-9.207002,33,
1_202ASC0_2904_11001,193033,38.752708,-9.208781,34,
1_202ASC0_11001_11008,193033,38.752877,-9.206187,35,
1_202ASC0_11008_10926,193033,38.753872,-9.206071,36,
1_202ASC0_10926_13708,193033,38.756864,-9.204729,37,
1_202ASC0_13708_13711,193033,38.757312,-9.204503,38,
1_202ASC0_13711_13912,193033,38.763985,-9.196592,39,
1_202ASC0_13912_13906,193033,38.766042,-9.19818,40,
