shape_seg_id,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
11069260069252,401,38.70359,-9.4064,1,
11069252069245,401,38.70326,-9.39855,2,
11069245069237,401,38.70128,-9.38582,3,
11069237069229,401,38.69544,-9.37179,4,
11069229069203,401,38.68979,-9.35632,5,
11069203069187,401,38.68784,-9.33725,6,
11069187069179,401,38.68849,-9.3189,7,
11069179069161,401,38.68695,-9.31189,8,
11069161069146,401,38.69709,-9.29048,9,
11069146069120,401,38.69878,-9.27441,10,
11069120069104,401,38.69982,-9.25208,11,
11069104069088,401,38.69859,-9.22965,12,
11069088069054,401,38.69621,-9.19738,13,
11069054069039,401,38.70253,-9.17387,14,
11069039069013,401,38.70622,-9.15492,15,
11069013069005,401,38.70609,-9.1447,16,
11069179069161,412,38.68695,-9.31189,1,
11069161069146,412,38.69709,-9.29048,2,
11069146069120,412,38.69878,-9.27441,3,
11069120069104,412,38.69982,-9.25208,4,
11069104069088,412,38.69859,-9.22965,5,
11069088069054,412,38.69621,-9.19738,6,
11069054069039,412,38.70253,-9.17387,7,
11069039069013,412,38.70622,-9.15492,8,
11069013069005,412,38.70609,-9.1447,9,
11069005069013,414,38.70622,-9.15492,1,
11069013069039,414,38.70253,-9.17387,2,
11069039069054,414,38.69621,-9.19738,3,
11069054069088,414,38.69859,-9.22965,4,
11069088069104,414,38.69982,-9.25208,5,
11069104069120,414,38.69878,-9.27441,6,
11069120069146,414,38.69709,-9.29048,7,
11069146069161,414,38.68695,-9.31189,8,
11069161069179,414,38.68849,-9.3189,9,
11069179069187,414,38.68784,-9.33725,10,
11069187069203,414,38.68979,-9.35632,11,
11069203069229,414,38.69544,-9.37179,12,
11069229069237,414,38.70128,-9.38582,13,
11069237069245,414,38.70326,-9.39855,14,
11069245069252,414,38.70359,-9.4064,15,
11069252069260,414,38.70085,-9.41792,16,
11069005069013,425,38.70622,-9.15492,1,
11069013069039,425,38.70253,-9.17387,2,
11069039069054,425,38.69621,-9.19738,3,
11069054069088,425,38.69859,-9.22965,4,
11069088069104,425,38.69982,-9.25208,5,
11069104069120,425,38.69878,-9.27441,6,
11069120069146,425,38.69709,-9.29048,7,
11069146069161,425,38.68695,-9.31189,8,
11069161069179,425,38.68849,-9.3189,9,
11069260069252,873,38.70359,-9.4064,1,
11069252069245,873,38.70326,-9.39855,2,
11069245069237,873,38.70128,-9.38582,3,
11069237069229,873,38.69544,-9.37179,4,
11069229069203,873,38.68979,-9.35632,5,
11069203069187,873,38.68784,-9.33725,6,
11069187069179,873,38.68849,-9.3189,7,
11069179069088,873,38.69859,-9.22965,8,
11069088069039,873,38.70253,-9.17387,9,
11069039069005,873,38.70609,-9.1447,10,
11069005069039,874,38.70253,-9.17387,1,
11069039069088,874,38.69859,-9.22965,2,
11069088069179,874,38.68849,-9.3189,3,
11069179069187,874,38.68784,-9.33725,4,
11069187069203,874,38.68979,-9.35632,5,
11069203069229,874,38.69544,-9.37179,6,
11069229069237,874,38.70128,-9.38582,7,
11069237069245,874,38.70326,-9.39855,8,
11069245069252,874,38.70359,-9.4064,9,
11069252069260,874,38.70085,-9.41792,10,
11095000095026,2657,38.65968,-9.07187,1,
11095026095042,2657,38.66198,-9.0587,2,
11095042095059,2657,38.65928,-9.04354,3,
11095059095075,2657,38.65194,-9.02695,4,
11095075095109,2657,38.64488,-8.99641,5,
11095109095125,2657,38.63833,-8.95701,6,
11095125068007,2657,38.62986,-8.91365,7,
11068007068049,2657,38.60648,-8.88886,8,
11068049068080,2657,38.57109,-8.8727,9,
11068080068122,2657,38.53061,-8.88499,10,
11061101061093,4934,38.80221,-9.37681,1,
11061093061069,4934,38.79763,-9.34145,2,
11061069061051,4934,38.79224,-9.32972,3,
11061051061044,4934,38.78464,-9.32225,4,
11061044061002,4934,38.76639,-9.29841,5,
11061002060137,4934,38.75154,-9.28402,6,
11060137060111,4934,38.75496,-9.26538,7,
11060111060103,4934,38.75879,-9.25659,8,
11060103060087,4934,38.75989,-9.23666,9,
11060087060095,4934,38.75065,-9.2224,10,
11060095060038,4934,38.74666,-9.21219,11,
11060038060046,4934,38.74444,-9.19919,12,
11060046066076,4934,38.74039,-9.16702,13,
11066076066050,4934,38.74461,-9.14873,14,
11066050066035,4934,38.74581,-9.13427,15,
11066035031005,4934,38.7467,-9.1029,16,
11031005031039,4934,38.76799,-9.09935,17,
11031039031047,4934,38.77804,-9.09959,18,
11031047031062,4934,38.7958,-9.09959,19,
11031062031070,4934,38.80742,-9.09443,20,
11031070031112,4934,38.84098,-9.08027,21,
11031112031146,4934,38.85952,-9.06361,22,
11031146031187,4934,38.891,-9.03312,23,
11031187031146,4937,38.85952,-9.06361,1,
11031146031112,4937,38.84098,-9.08027,2,
11031112031070,4937,38.80742,-9.09443,3,
11031070031062,4937,38.7958,-9.09959,4,
11031062031047,4937,38.77804,-9.09959,5,
11031047031039,4937,38.76799,-9.09935,6,
11031039031005,4937,38.7467,-9.1029,7,
11031005066035,4937,38.74581,-9.13427,8,
11066035066050,4937,38.74461,-9.14873,9,
11066050066076,4937,38.74039,-9.16702,10,
11066076060046,4937,38.74444,-9.19919,11,
11060046060038,4937,38.74666,-9.21219,12,
11060038060095,4937,38.75065,-9.2224,13,
11060095060087,4937,38.75989,-9.23666,14,
11060087060103,4937,38.75879,-9.25659,15,
11060103060111,4937,38.75496,-9.26538,16,
11060111060137,4937,38.75154,-9.28402,17,
11060137061002,4937,38.76639,-9.29841,18,
11061002061044,4937,38.78464,-9.32225,19,
11061044061051,4937,38.79224,-9.32972,20,
11061051061069,4937,38.79763,-9.34145,21,
11061069061093,4937,38.80221,-9.37681,22,
11061093061101,4937,38.79931,-9.38543,23,
11061101061093,5514,38.80221,-9.37681,1,
11061093061069,5514,38.79763,-9.34145,2,
11061069061051,5514,38.79224,-9.32972,3,
11061051061044,5514,38.78464,-9.32225,4,
11061044061002,5514,38.76639,-9.29841,5,
11061002060137,5514,38.75154,-9.28402,6,
11060137060111,5514,38.75496,-9.26538,7,
11060111060103,5514,38.75879,-9.25659,8,
11060103060087,5514,38.75989,-9.23666,9,
11060087060095,5514,38.75065,-9.2224,10,
11060095060038,5514,38.74666,-9.21219,11,
11060038060046,5514,38.74444,-9.19919,12,
11060046066076,5514,38.74039,-9.16702,13,
11066076066050,5514,38.74461,-9.14873,14,
11066050066035,5514,38.74581,-9.13427,15,
11066035031005,5514,38.7467,-9.1029,16,
11031005031039,5514,38.76799,-9.09935,17,
11061101061093,6231,38.80221,-9.37681,1,
11061093061069,6231,38.79763,-9.34145,2,
11061069061051,6231,38.79224,-9.32972,3,
11061051061044,6231,38.78464,-9.32225,4,
11061044061002,6231,38.76639,-9.29841,5,
11061002060137,6231,38.75154,-9.28402,6,
11060137060111,6231,38.75496,-9.26538,7,
11060111060103,6231,38.75879,-9.25659,8,
11060103060087,6231,38.75989,-9.23666,9,
11060087060095,6231,38.75065,-9.2224,10,
11060095060038,6231,38.74666,-9.21219,11,
11060038060046,6231,38.74444,-9.19919,12,
11060046060004,6231,38.73295,-9.1685,13,
11060004059006,6231,38.71497,-9.1424,14,
11059006060004,6232,38.73295,-9.1685,1,
11060004060046,6232,38.74444,-9.19919,2,
11060046060038,6232,38.74666,-9.21219,3,
11060038060095,6232,38.75065,-9.2224,4,
11060095060087,6232,38.75989,-9.23666,5,
11060087060103,6232,38.75879,-9.25659,6,
11060103060111,6232,38.75496,-9.26538,7,
11060111060137,6232,38.75154,-9.28402,8,
11060137061002,6232,38.76639,-9.29841,9,
11061002061044,6232,38.78464,-9.32225,10,
11061044061051,6232,38.79224,-9.32972,11,
11061051061069,6232,38.79763,-9.34145,12,
11061069061093,6232,38.80221,-9.37681,13,
11061093061101,6232,38.79931,-9.38543,14,
11068122068080,9412,38.57109,-8.8727,1,
11068080068049,9412,38.60648,-8.88886,2,
11068049068007,9412,38.62986,-8.91365,3,
11068007095125,9412,38.63833,-8.95701,4,
11095125095109,9412,38.64488,-8.99641,5,
11095109095075,9412,38.65194,-9.02695,6,
11095075095059,9412,38.65928,-9.04354,7,
11095059095042,9412,38.66198,-9.0587,8,
11095042095026,9412,38.65968,-9.07187,9,
11095026095000,9412,38.65313,-9.08008,10,
11031039031005,19933,38.7467,-9.1029,1,
11031005066035,19933,38.74581,-9.13427,2,
11066035066050,19933,38.74461,-9.14873,3,
11066050066076,19933,38.74039,-9.16702,4,
11066076060046,19933,38.74444,-9.19919,5,
11060046060038,19933,38.74666,-9.21219,6,
11060038060095,19933,38.75065,-9.2224,7,
11060095060087,19933,38.75989,-9.23666,8,
11060087060103,19933,38.75879,-9.25659,9,
