trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
28309223,00:00:00,00:00:00,11069260,0,,,,
28309223,00:01:30,00:02:00,11069252,1,,,,
28309223,00:03:30,00:04:00,11069245,2,,,,
28309223,00:06:00,00:06:30,11069237,3,,,,
28309223,00:08:00,00:08:30,11069229,4,,,,
28309223,00:10:30,00:11:00,11069203,5,,,,
28309223,00:13:00,00:13:30,11069187,6,,,,
28309223,00:16:00,00:16:30,11069179,7,,,,
28309223,00:17:30,00:18:00,11069161,8,,,,
28309223,00:21:00,00:21:30,11069146,9,,,,
28309223,00:23:00,00:23:30,11069120,10,,,,
28309223,00:26:00,00:26:30,11069104,11,,,,
28309223,00:28:30,00:29:00,11069088,12,,,,
28309223,00:32:00,00:32:30,11069054,13,,,,
28309223,00:35:00,00:35:30,11069039,14,,,,
28309223,00:37:30,00:38:00,11069013,15,,,,
28309223,00:40:00,00:40:00,11069005,16,,,,
28309225,01:00:00,01:00:00,11069260,0,,,,
28309225,01:01:30,01:02:00,11069252,1,,,,
28309225,01:03:30,01:04:00,11069245,2,,,,
28309225,01:06:00,01:06:30,11069237,3,,,,
28309225,01:08:00,01:08:30,11069229,4,,,,
28309225,01:10:30,01:11:00,11069203,5,,,,
28309225,01:13:00,01:13:30,11069187,6,,,,
28309225,01:16:00,01:16:30,11069179,7,,,,
28309225,01:17:30,01:18:00,11069161,8,,,,
28309225,01:21:00,01:21:30,11069146,9,,,,
28309225,01:23:00,01:23:30,11069120,10,,,,
28309225,01:26:00,01:26:30,11069104,11,,,,
28309225,01:28:30,01:29:00,11069088,12,,,,
28309225,01:32:00,01:32:30,11069054,13,,,,
28309225,01:35:00,01:35:30,11069039,14,,,,
28309225,01:37:30,01:38:00,11069013,15,,,,
28309225,01:40:00,01:40:00,11069005,16,,,,
28309227,06:00:00,06:00:00,11069260,0,,,,
28309227,06:01:30,06:02:00,11069252,1,,,,
28309227,06:03:30,06:04:00,11069245,2,,,,
28309227,06:06:00,06:06:30,11069237,3,,,,
28309227,06:08:00,06:08:30,11069229,4,,,,
28309227,06:10:30,06:11:00,11069203,5,,,,
28309227,06:13:00,06:13:30,11069187,6,,,,
